year,type,action,access to car (1+),no access to car (0)
2013,transport,organised coach tour,0.9,0.7
2013,transport,taxi,2.7,0.4
2013,transport,walked\on foot,5.1,3.4
2013,transport,bicycle,0.8,1.0
2013,transport,minibus,0.2,0.0
2013,transport,motor cycle,0.5,0.0
2013,transport,tube,0.2,0.0
2013,transport,tram,0.0,0.0
2013,transport,motorised caravan\campervan,0.5,0.0
2013,transport,plane,0.2,0.1
2013,transport,boat\ship\ferry,0.8,0.1
2013,transport,lorry\truck\van,0.4,0.0
2013,transport,other,0.7,0.2
2014,transport,car - own/friends/family,85.5,9.0
2014,transport,car - hired,1.2,0.4
2014,transport,public transport,16.8,12.9
2014,transport,train,9.8,6.6
2014,transport,a regular bus\coach,7.0,6.3
2014,transport,organised coach tour,0.7,0.1
2014,transport,taxi,3.2,1.8
2014,transport,walked\on foot,5.4,4.1
2014,transport,bicycle,0.9,0.5
2014,transport,minibus,0.1,0.2
2014,transport,motor cycle,0.2,0.0
2014,transport,tube,0.1,0.0
2014,transport,tram,0.3,0.2
2014,transport,motorised caravan\campervan,0.1,0.0
2014,transport,plane,0.5,0.1
2014,transport,boat\ship\ferry,0.7,0.0
2014,transport,lorry\truck\van,0.1,0.1
2014,transport,other,0.4,0.7
2015,transport,car - own/friends/family,78.8,8.6
2015,transport,car - hired,1.6,0.3
2015,transport,public transport,16.1,17.6
2015,transport,train,9.4,8.0
2015,transport,a regular bus\coach,6.7,9.7
2015,transport,organised coach tour,1.4,0.8
2015,transport,taxi,1.7,1.7
2015,transport,walked\on foot,4.8,4.0
2015,transport,bicycle,0.6,0.4
2015,transport,minibus,0.9,0.1
2015,transport,motor cycle,0.2,0.0
2015,transport,tube,0.0,0.1
2015,transport,tram,0.3,0.0
2015,transport,motorised caravan\campervan,0.1,0.0
2015,transport,plane,0.9,0.1
2015,transport,boat\ship\ferry,0.7,0.0
2015,transport,lorry\truck\van,0.1,0.0
2015,transport,other,0.5,0.2
2016,transport,car - own/friends/family,85.6,6.3
2016,transport,car - hired,2.2,0.4
2016,transport,public transport,16.9,11.0
2016,transport,train,9.3,4.8
2016,transport,a regular bus\coach,7.6,6.2
2016,transport,organised coach tour,1.2,0.3
2016,transport,taxi,4.4,0.5
2016,transport,walked\on foot,5.7,2.2
2016,transport,bicycle,0.8,0.1
2016,transport,tube,0.2,0.3
2016,transport,tram,0.2,0.0
2016,transport,motorised caravan\campervan,0.4,0.1
2016,transport,plane,0.5,0.2
2016,transport,boat\ship\ferry,0.0,0.1
2016,transport,lorry\truck\van,0.2,0.1
2016,transport,other,1.7,0.4
2017,transport,car - own/friends/family,86.4,6.2
2017,transport,car - hired,6.0,0.4
2017,transport,public transport,18.8,10.4
2017,transport,train,11.7,4.3
2017,transport,a regular bus\coach,7.1,6.1
2017,transport,organised coach tour,2.5,0.5
2017,transport,taxi,2.8,1.0
2017,transport,walked\on foot,5.3,3.3
2017,transport,bicycle,0.8,0.7
2017,transport,tube,0.4,0.2
2017,transport,tram,0.4,0.2
2017,transport,motorised caravan\campervan,0.8,0.0
2017,transport,plane,1.4,0.4
2017,transport,boat\ship\ferry,0.5,0.0
2017,transport,lorry\truck\van,0.4,0.1
2017,transport,other,0.8,0.4
2018,transport,car - own/friends/family,78.8,5.4
2018,transport,car - hired,2.3,0.4
2018,transport,public transport,17.9,11.1
2018,transport,train,11.9,4.9
2018,transport,a regular bus\coach,5.9,6.3
2018,transport,organised coach tour,0.7,0.4
2018,transport,taxi,2.3,1.2
2018,transport,walked\on foot,8.0,3.2
2018,transport,bicycle,0.7,0.0
2018,transport,tube,0.1,0.5
2018,transport,tram,0.2,0.1
2018,transport,motorised caravan\campervan,0.1,0.1
2018,transport,plane,1.5,0.2
2018,transport,boat\ship\ferry,0.1,0.1
2018,transport,lorry\truck\van,0.1,0.3
2018,transport,other,1.6,0.4
2019,transport,car - own/friends/family,74.3,5.7
2019,transport,car - hired,2.1,0.1
2019,transport,public transport,16.2,12.4
2019,transport,train,9.9,5.9
2019,transport,a regular bus\coach,6.3,6.4
2019,transport,organised coach tour,1.9,0.6
2019,transport,taxi,4.4,1.2
2019,transport,walked\on foot,5.4,2.1
2019,transport,bicycle,0.9,0.3
2019,transport,tube,1.5,0.1
2019,transport,tram,0.2,0.2
2019,transport,motorised caravan\campervan,0.4,0.0
2019,transport,plane,1.1,0.3
2019,transport,boat\ship\ferry,0.4,0.1
2019,transport,lorry\truck\van,0.3,0.0
2019,transport,other,1.2,0.2
